album	artist	genre	score	author	date	link	genre_num
Scar Sighted	Leviathan	Metal	7.4	Grayson Haver Currin	February 6 2015	https://pitchfork.com/reviews/albums/20094-scar-sighted/	8
A Flourish and a Spoil	The Districts	Rock	5.6	Ian Cohen	February 6 2015	https://pitchfork.com/reviews/albums/20142-a-flourish-and-a-spoil/	7
Moondagger	Deastro	Electronic,Rock	7.1	Andy Battaglia	July 10 2009	https://pitchfork.com/reviews/albums/13315-moondagger/	2
We Are The Boggs We Are	The Boggs	Electronic,Rock	5.7	Rob Mitchum	May 9 2002	https://pitchfork.com/reviews/albums/847-we-are-the-boggs-we-are/	2
And in the Endless Pause There Came the Sound of Bees	Jóhann Jóhannsson	Experimental	7.3	Joe Tangari	March 29 2010	https://pitchfork.com/reviews/albums/14064-and-in-the-endless-pause-there-came-the-sound-of-bees/	0
Konstellaatio	Ø	nan	7.4	Grayson Haver Currin	February 27 2014	https://pitchfork.com/reviews/albums/19032-artist-konstellaatio/	9
These Four Walls	We Were Promised Jetpacks	Rock	6.7	Rebecca Raber	July 6 2009	https://pitchfork.com/reviews/albums/13136-these-four-walls/	7
This Flag Signals Goodbye	Swearing at Motorists	Rock	7.4	William Bowers	July 22 2002	https://pitchfork.com/reviews/albums/7650-this-flag-signals-goodbye/	7
4AM Mulholland EP	Amerie	Pop/R&B	7.2	Maura Johnston	October 26 2018	https://pitchfork.com/reviews/albums/amerie-4am-mulholland-ep-after-4am-ep/	3
Dear Companion	Ben Sollee and Daniel Martin Moore	Folk/Country	6.4	Stephen M. Deusner	March 26 2010	https://pitchfork.com/reviews/albums/14032-dear-companion/	6
The Green CD	Non Phixion	Rap	6.1	Rollie Pemberton	June 15 2004	https://pitchfork.com/reviews/albums/5832-the-green-cd/	4
Sun Bronzed Greek Gods EP	DoM 	Rock	8.0	Marc Hogan	April 30 2010	https://pitchfork.com/reviews/albums/14176-sun-bronzed-greek-gods-ep/	7
Inter Arbiter	Inlets	Experimental,Folk/Country,Rock	6.1	Ian Cohen	April 29 2010	https://pitchfork.com/reviews/albums/14191-inter-arbiter/	0
Cat's Eyes	Cat's Eyes	Rock	7.9	Larry Fitzmaurice	May 4 2011	https://pitchfork.com/reviews/albums/15397-cats-eyes/	7
Fisherman's Woman	Emiliana Torrini	Electronic,Pop/R&B	6.3	Marc Hogan	April 3 2005	https://pitchfork.com/reviews/albums/8286-fishermans-woman/	2
Diver	Lemonade	Rock	6.8	Stuart Berman	May 29 2012	https://pitchfork.com/reviews/albums/16663-diver/	7
Screens	Forest Fire	Rock	7.3	Joel Oliphint	October 4 2013	https://pitchfork.com/reviews/albums/18554-forest-fire-screens/	7
Paupers Field	Dylan LeBlanc	Folk/Country	6.8	Joshua Klein	October 29 2010	https://pitchfork.com/reviews/albums/14795-paupers-field/	6
Nocturne of Exploded Crystal Chandelier	Sun Airway	Pop/R&B	7.8	Ian Cohen	October 28 2010	https://pitchfork.com/reviews/albums/14780-nocturne-of-exploded-crystal-chandelier/	3
Can I Keep This Pen?	Northern State	Pop/R&B,Rap	5.0	Zach Baron	August 16 2007	https://pitchfork.com/reviews/albums/10522-can-i-keep-this-pen/	3
Bayou Paradis	Gez Varley	Electronic	7.7	Paul Cooper	October 17 2001	https://pitchfork.com/reviews/albums/8415-bayou-paradis/	2
Genius of Time	Larry Levan	Electronic	8.8	Andy Beta	March 25 2016	https://pitchfork.com/reviews/albums/21656-genius-of-time/	2
Daze on the Mounts	Dredd Foole	Folk/Country	7.2	Grayson Currin	February 22 2007	https://pitchfork.com/reviews/albums/9902-daze-on-the-mounts/	6
Indigo Child	Raury	Rap	6.5	Corban Goble	September 3 2014	https://pitchfork.com/reviews/albums/19790-raury-indigo-child/	4
Testify	The Simpsons	Pop/R&B	5.3	Joshua Love	January 4 2008	https://pitchfork.com/reviews/albums/10737-testify/	3
Stateless	Tangents	Experimental	7.8	Philip Sherburne	July 14 2016	https://pitchfork.com/reviews/albums/22102-stateless/	0
Bring 'Em In	Mando Diao	Rock	8.0	Eric Carr	October 27 2003	https://pitchfork.com/reviews/albums/5557-bring-em-in/	7
Rebels, Rogues & Sworn Brothers	Lucero	Rock	7.0	Stephen M. Deusner	October 31 2006	https://pitchfork.com/reviews/albums/9540-rebels-rogues-sworn-brothers/	7
One	Ben Klock	Electronic	7.5	Andrew Gaerig	April 3 2009	https://pitchfork.com/reviews/albums/12803-one/	2
Negotiations	The Helio Sequence	Rock	6.8	Paul Thompson	September 11 2012	https://pitchfork.com/reviews/albums/17024-negotiations/	7
Oblivion	T-Pain	Rap	6.7	Briana Younger	December 2 2017	https://pitchfork.com/reviews/albums/t-pain-oblivion/	4
Change the Station	A Certain Ratio	Electronic	6.0	Daniel Martin-McCormick	August 1 2018	https://pitchfork.com/reviews/albums/a-certain-ratio-change-the-station-mind-made-up/	2
Book of Life	Masayoshi Fujita	Experimental	7.6	Andy Beta	August 2 2018	https://pitchfork.com/reviews/albums/masayoshi-fujita-book-of-life/	0
Qualm	Helena Hauff	Electronic	7.8	Philip Sherburne	August 3 2018	https://pitchfork.com/reviews/albums/helena-hauff-qualm/	2
Donkey	CSS	Electronic,Rock	5.6	Eric Harvey	July 25 2008	https://pitchfork.com/reviews/albums/12016-donkey/	2
Deformed Worship	Raspberry Bulbs	nan	8.1	Grayson Haver Currin	August 9 2013	https://pitchfork.com/reviews/albums/18250-raspberry-bulbs-deformed-worship/	9
Wink With Both Eyes	Blanche Blanche Blanche	nan	7.7	Jenn Pelly	July 12 2012	https://pitchfork.com/reviews/albums/16920-wink-with-both-eyes/	9
All We Need	Raury	Rap	6.8	Sheldon Pearce	October 16 2015	https://pitchfork.com/reviews/albums/21172-all-we-need/	4
U&I	Leila	Electronic	6.2	Nick Neyland	January 27 2012	https://pitchfork.com/reviews/albums/16218-ui/	2
America Give Up	Howler	Electronic,Rock	6.0	David Raposa	January 26 2012	https://pitchfork.com/reviews/albums/16212-howler-america-give-up/	2
Hospitality	Hospitality	Rock	7.4	Rachael Maddux	January 26 2012	https://pitchfork.com/reviews/albums/16213-hospitality/	7
Hanging Gardens	Classixx	Electronic	7.8	Larry Fitzmaurice	May 31 2013	https://pitchfork.com/reviews/albums/18004-classixx-hanging-gardens/	2
Prinzhorn Dance School	Prinzhorn Dance School	Electronic	8.2	Andy Battaglia	August 30 2007	https://pitchfork.com/reviews/albums/10601-prinzhorn-dance-school/	2
Twinemen	Twinemen	Rock	6.4	Chris Dahlen	August 8 2002	https://pitchfork.com/reviews/albums/8219-twinemen/	7
Given You Nothing	Flim	Electronic	8.1	Mark Richard-San	August 7 2002	https://pitchfork.com/reviews/albums/3101-given-you-nothing/	2
Necessary Evil	Debbie Harry	Rock	7.5	Sara Sherr	October 29 2007	https://pitchfork.com/reviews/albums/10780-necessary-evil/	7
Third Law	Roly Porter	Experimental	8.0	Philip Sherburne	January 27 2016	https://pitchfork.com/reviews/albums/21335-third-law/	0
Night Fiction	Cian Nugent	Rock	7.3	Pat Healy	January 27 2016	https://pitchfork.com/reviews/albums/21383-night-fiction/	7
Tomorrow Today	Seeland	Pop/R&B	6.5	Eric Harvey	May 15 2009	https://pitchfork.com/reviews/albums/12900-tomorrow-today/	3
Scratch or Stitch	Melt-Banana	Experimental,Rock	8.2	Dan Lett	May 3 2004	https://pitchfork.com/reviews/albums/5219-scratch-or-stitch/	0
Holographic	Daniel Wohl	Experimental	7.7	Seth Colter Walls	February 15 2016	https://pitchfork.com/reviews/albums/21419-holographic/	0
Blossoming Decay	Noisem	Metal	8.0	Brandon Stosuy	May 15 2015	https://pitchfork.com/reviews/albums/20603-blossoming-decay/	8
These Were The Earlies	The Earlies	Rock	7.9	Marc Hogan	August 15 2004	https://pitchfork.com/reviews/albums/2907-these-were-the-earlies/	7
All That Must Be	George FitzGerald	Electronic	6.4	Philip Sherburne	March 20 2018	https://pitchfork.com/reviews/albums/george-fitzgerald-all-that-must-be/	2
No Fool Like an Old Fool	Caroline Says	Folk/Country	7.5	Jillian Mapes	March 21 2018	https://pitchfork.com/reviews/albums/caroline-says-no-fool-like-an-old-fool/	6
Haymaker!	The Gourds	Rock	7.5	Stephen M. Deusner	January 16 2009	https://pitchfork.com/reviews/albums/12587-haymaker/	7
Will To Be Well?	Dalhous	nan	7.5	Colin Joyce	June 30 2014	https://pitchfork.com/reviews/albums/19490-dalhous-will-to-be-well/	9
News From Nowhere	Darkstar	Electronic	7.0	Mark Pytlik	February 8 2013	https://pitchfork.com/reviews/albums/17575-news-from-nowhere/	2
Wysing Forest	Luke Abbott	Electronic	6.7	Andrew Gaerig	July 1 2014	https://pitchfork.com/reviews/albums/19535-luke-abbott-wysing-forest/	2
Imps of Perversion	Pop. 1280	Rock	6.7	Stuart Berman	August 7 2013	https://pitchfork.com/reviews/albums/18322-pop-1280-imps-of-perversion/	7
Kick Up the Dust	Blood Meridian	Rock	7.0	Sam Ubl	August 10 2006	https://pitchfork.com/reviews/albums/9292-kick-up-the-dust/	7
En Garde, Society!	Eugene Mirman	Experimental	6.7	William Bowers	August 4 2006	https://pitchfork.com/reviews/albums/9253-en-garde-society/	0
The Aquaplano Sessions	Donato Dozzy, Nuel	Electronic	8.0	Andy Beta	March 13 2014	https://pitchfork.com/reviews/albums/19095-donato-dozzy-nuel-voices-from-the-lake-the-aquaplano-sessions-velo-di-maya-ep/	2
Heaven Is Earth	Self Defense Family	Rock	6.3	Ian Cohen	July 15 2015	https://pitchfork.com/reviews/albums/20775-heaven-is-earth/	7
Youth Culture Forever	PAWS	nan	7.2	Jeremy Gordon	May 9 2014	https://pitchfork.com/reviews/albums/19354-paws-youth-culture-forever/	9
Revenge!	Robbie Fulks	Rock	3.8	Stephen M. Deusner	May 1 2007	https://pitchfork.com/reviews/albums/10143-revenge/	7
El Radio	Chris Garneau	Rock	4.8	Joshua Klein	July 28 2009	https://pitchfork.com/reviews/albums/13204-el-radio/	7
Part I: John Shade, Your Fortune's Made	Fol Chen	Pop/R&B	6.9	Ian Cohen	July 28 2009	https://pitchfork.com/reviews/albums/13342-part-i-john-shade-your-fortunes-made/	3
Me and Armini	Emilana Torrini	nan	5.9	Joshua Klein	September 16 2008	https://pitchfork.com/reviews/albums/12188-me-and-armini/	9
Motor Earth	Axis: Sova	Rock	6.7	John S.W. MacDonald	October 22 2016	https://pitchfork.com/reviews/albums/22479-motor-earth/	7
All This Could Kill You	Ben + Vesper	Pop/R&B,Rock	7.5	Amanda Petrusich	May 1 2007	https://pitchfork.com/reviews/albums/10171-all-this-could-kill-you/	3
Dabbling with Gravity and Who You Are	Vibracathedral Orchestra	Experimental,Rock	7.7	Dominique Leone	February 5 2002	https://pitchfork.com/reviews/albums/8465-dabbling-with-gravity-and-who-you-are/	0
Hell Songs	Daughters	Rock	6.7	Zach Baron	September 14 2006	https://pitchfork.com/reviews/albums/9339-hell-songs/	7
Leaving on a Mayday	Anna Ternheim	Rock	7.5	Matthew Solarski	February 3 2010	https://pitchfork.com/reviews/albums/13889-leaving-on-a-mayday/	7
You & Me	Kevin Barker	Folk/Country	5.9	Matthew Murphy	February 3 2010	https://pitchfork.com/reviews/albums/13890-you-me/	6
Majenta	Jimmy Edgar	Electronic	5.2	Larry Fitzmaurice	May 21 2012	https://pitchfork.com/reviews/albums/16624-majenta/	2
fetch	Melt-Banana	Experimental,Rock	7.8	Jason Heller	October 1 2013	https://pitchfork.com/reviews/albums/18577-melt-banana-fetch/	0
The Years EP	Memoryhouse	Electronic,Rock	7.3	Jonathan Garrett	February 22 2010	https://pitchfork.com/reviews/albums/13946-the-years-ep/	2
Rockstopper	Knifehandchop	Electronic	6.1	Mark Pytlik	March 14 2004	https://pitchfork.com/reviews/albums/4497-rockstopper/	2
Candi Staton	Candi Staton	Rock	7.9	Andy Beta	March 10 2004	https://pitchfork.com/reviews/albums/7741-candi-staton/	7
Further Out	Cloakroom	Rock	7.7	Ian Cohen	January 21 2015	https://pitchfork.com/reviews/albums/20138-further-out/	7
Where in Our Woods	Elephant Micah	Folk/Country	7.6	Joel Oliphint	January 21 2015	https://pitchfork.com/reviews/albums/20082-where-in-our-woods/	6
Will Happiness Find Me?	Maria Minerva	Electronic	6.9	Lindsay Zoladz	September 5 2012	https://pitchfork.com/reviews/albums/17019-will-happiness-find-me/	2
At Best Cuckold	Avi Buffalo	Experimental,Rock	7.2	Ian Cohen	September 10 2014	https://pitchfork.com/reviews/albums/19719-avi-buffalo-at-best-cuckold/	0
Bon Voyage	Melody’s Echo Chamber	Rock	7.1	Ian Cohen	June 20 2018	https://pitchfork.com/reviews/albums/melodys-echo-chamber-bon-voyage/	7
Birthday EP	Junior Boys	Electronic,Rock	8.5	Scott Plagenhoef	October 30 2003	https://pitchfork.com/reviews/albums/4339-birthday-ep/	2
Logic Will Break Your Heart	The Stills	Electronic,Rock	5.1	William Bowers	November 2 2003	https://pitchfork.com/reviews/albums/7718-logic-will-break-your-heart/	2
Indifferent Rivers Romance End	Wreck and Reference	Metal	8.0	Andy O'Connor	July 20 2016	https://pitchfork.com/reviews/albums/22127-indifferent-rivers-romance-end/	8
Pylon Live	Pylon	Electronic,Rock	8.0	Stuart Berman	July 19 2016	https://pitchfork.com/reviews/albums/22125-pylon-live/	2
Operator	MSTRKRFT	Electronic	6.5	Nathan Reese	July 19 2016	https://pitchfork.com/reviews/albums/22117-operator/	2
2016 / 1986	Wolfgang Tillmans	Experimental	6.9	Thea Ballard	July 19 2016	https://pitchfork.com/reviews/albums/22155-2016-1986/	0
Camp Cope	Camp Cope	Rock	8.0	Ian Cohen	July 18 2016	https://pitchfork.com/reviews/albums/22116-camp-cope/	7
Effected	Cozz	Rap	6.8	Jackson Howard	February 15 2018	https://pitchfork.com/reviews/albums/cozz-effected/	4
Wait for Love	Pianos Become the Teeth	Rock	7.7	Ian Cohen	February 16 2018	https://pitchfork.com/reviews/albums/pianos-become-the-teeth-wait-for-love/	7
Cranberry	Hovvdy	Rock	7.5	Sasha Geffen	February 14 2018	https://pitchfork.com/reviews/albums/hovvdy-cranberry/	7
Ceasefire	Emmanuel Jal	Rap	8.2	Joe Tangari	October 24 2005	https://pitchfork.com/reviews/albums/4364-ceasefire/	4
Wild Animals	The Pinker Tones	Pop/R&B	5.7	Marc Hogan	June 3 2008	https://pitchfork.com/reviews/albums/11527-wild-animals/	3
Partie Traumatic	Black Kids	Electronic,Rock	3.3	Scott Plagenhoef	July 22 2008	https://pitchfork.com/reviews/albums/11617-partie-traumatic/	2
All of This	Perera Elsewhere	Pop/R&B	7.6	Briana Younger	June 8 2017	https://pitchfork.com/reviews/albums/23303-all-of-this/	3
Icky Blossoms	Icky Blossoms	Pop/R&B	6.6	Ian Cohen	July 20 2012	https://pitchfork.com/reviews/albums/16830-icky-blossoms/	3
Shrines	Purity Ring	Electronic	8.4	Mark Richardson	July 24 2012	https://pitchfork.com/reviews/albums/16851-shrines/	2
Immediately EP	The Pattern	Rock	5.5	Chris Dahlen	August 11 2002	https://pitchfork.com/reviews/albums/6192-immediately-ep/	7
Sore	Dilly Dally	Rock	8.0	Laura Snapes	October 9 2015	https://pitchfork.com/reviews/albums/21085-sore/	7
Film Molecules	Tender Trap	Rock	7.5	Alison Fields	August 11 2002	https://pitchfork.com/reviews/albums/7971-film-molecules/	7
Stateless	Dirty Beaches	Experimental,Rock	7.6	Stuart Berman	November 3 2014	https://pitchfork.com/reviews/albums/19863-dirty-beaches-stateless/	0
Repentless	Slayer	Metal	6.8	Andy O'Connor	September 10 2015	https://pitchfork.com/reviews/albums/21001-repentless/	8
Vermont	Vermont	Electronic	6.4	Andrew Gaerig	March 19 2014	https://pitchfork.com/reviews/albums/19129-vermont-vermont/	2
Darlings	Kevin Drew	Experimental,Rock	7.6	Ian Cohen	March 19 2014	https://pitchfork.com/reviews/albums/19114-kevin-drew-darlings/	0
A Minor Thought	Moomin	Electronic	7.5	Philip Sherburne	February 12 2016	https://pitchfork.com/reviews/albums/21493-a-minor-thought/	2
My Wild West	Lissie	Pop/R&B	5.8	Katherine St. Asaph	February 11 2016	https://pitchfork.com/reviews/albums/21468-my-wild-west/	3
Kemialliset Ystävät	Kemialliset Ystävät	Experimental,Rock	7.7	Andrew Gaerig	October 10 2007	https://pitchfork.com/reviews/albums/10718-kemialliset-ystavat/	0
Twentytwo in Blue	Sunflower Bean	Rock	6.4	Ian Cohen	March 26 2018	https://pitchfork.com/reviews/albums/sunflower-bean-twentytwo-in-blue/	7
You Should Know by Now	Barbara Manning	Rock	6.2	Nick Mirov	May 22 2001	https://pitchfork.com/reviews/albums/5085-you-should-know-by-now/	7
Quarters	Truckasauras	Rock	7.6	Ian Cohen	November 15 2010	https://pitchfork.com/reviews/albums/14847-quarters/	7
Lucid Interval	Cephalic Carnage	Jazz,Metal	8.1	Isaiah Violante	January 27 2003	https://pitchfork.com/reviews/albums/1380-lucid-interval/	5
Under and In	Glifted	nan	8.6	Isaiah Violante	January 26 2003	https://pitchfork.com/reviews/albums/3465-under-and-in/	9
Out of View	The History of Apple Pie	Rock	6.7	Steven Hyden	February 5 2013	https://pitchfork.com/reviews/albums/17569-out-of-view/	7
Althaea	Trailer Trash Tracys	Experimental	6.0	Kevin Lozano	August 19 2017	https://pitchfork.com/reviews/albums/trailer-trash-tracys-althaea/	0
Terra Incognita	Various Artists	nan	7.2	Andy Beta	August 21 2017	https://pitchfork.com/reviews/albums/various-artists-terra-incognita/	9
Time Well	Cloakroom	Rock	7.3	Andy O'Connor	August 21 2017	https://pitchfork.com/reviews/albums/cloakroom-time-well/	7
Desolation	Khemmis	Metal	6.8	Zoe Camp	July 2 2018	https://pitchfork.com/reviews/albums/khemmis-desolation/	8
Controlling Body	Peder Mannerfelt	Electronic	8.1	Philip Sherburne	April 14 2016	https://pitchfork.com/reviews/albums/21780-controlling-body/	2
Value	Visionist	Electronic	7.0	Thea Ballard	November 2 2017	https://pitchfork.com/reviews/albums/visionist-value/	2
No Pop	Odonis Odonis	Rock	8.1	Stuart Berman	November 1 2017	https://pitchfork.com/reviews/albums/odonis-odonis-no-pop/	7
The Space Between	Majid Jordan	Pop/R&B	7.4	Briana Younger	November 1 2017	https://pitchfork.com/reviews/albums/majid-jordan-the-space-between/	3
The First Original Silence	Original Silence	Experimental,Jazz	8.0	Marc Masters	May 2 2007	https://pitchfork.com/reviews/albums/10145-the-first-original-silence/	0
Sincerely Yours	Iamsu!	Rap	6.0	David Turner	May 15 2014	https://pitchfork.com/reviews/albums/19230-iamsu-sincerely-yours/	4
Pile	A Giant Dog	Rock	8.2	Pat Healy	May 18 2016	https://pitchfork.com/reviews/albums/21887-pile/	7
Quest For Fire	Quest for Fire	Metal,Rock	6.9	Grayson Currin	August 28 2009	https://pitchfork.com/reviews/albums/13198-quest-for-fire/	8
In Streams	Centaur	Rock	8.4	Isaiah Violante	October 6 2002	https://pitchfork.com/reviews/albums/1374-in-streams/	7
Shine Your Light	Gap Dream	nan	6.7	Ian Cohen	November 26 2013	https://pitchfork.com/reviews/albums/18729-gap-dream-shine-your-light/	9
Vultures Await	Will Johnson	Rock	7.7	Stephen M. Deusner	September 22 2004	https://pitchfork.com/reviews/albums/4346-vultures-await/	7
Night Piece	Shugo Tokumaru	Experimental	8.6	Nick Sylvester	September 22 2004	https://pitchfork.com/reviews/albums/8270-night-piece/	0
Ancestor	T.K. Webb & The Visions	Rock	7.4	David Bevan	August 27 2008	https://pitchfork.com/reviews/albums/12124-ancestor/	7
Sept. 5th	dvsn	Pop/R&B	8.3	Ryan Dombal	April 5 2016	https://pitchfork.com/reviews/albums/21756-sept-5th/	3
A Place to Bury Strangers	A Place to Bury Strangers	Rock	8.4	Marc Hogan	August 31 2007	https://pitchfork.com/reviews/albums/10595-a-place-to-bury-strangers/	7
The King Beneath the Mountain	Surface of Eceon	nan	7.8	Mark Richard-San	January 31 2002	https://pitchfork.com/reviews/albums/7635-the-king-beneath-the-mountain/	9
My Last Day	Kim Hiorthøy	Electronic	6.2	Marc Masters	December 5 2007	https://pitchfork.com/reviews/albums/10907-my-last-day/	2
Pick Up	Solex	Electronic	7.6	S. Murray	September 14 1999	https://pitchfork.com/reviews/albums/7323-pick-up/	2
Dream Get Together	Citay	Rock	7.6	Grayson Currin	February 16 2010	https://pitchfork.com/reviews/albums/13936-dream-get-together/	7
Time Capsule: The Best of...	Matthew Sweet	Rock	7.2	Rich Juzwiak	September 26 2000	https://pitchfork.com/reviews/albums/7657-time-capsule-the-best-of/	7
El Baile Aleman	Señor Coconut Y Su Conjunto	nan	6.0	Mark Richard-San	July 4 2000	https://pitchfork.com/reviews/albums/7070-el-baile-aleman/	9
The Dirt Tier	Winfred E. Eye	Rock	6.9	Joe Tangari	November 9 2003	https://pitchfork.com/reviews/albums/8704-the-dirt-tier/	7
Separation Anxieties	12 Rods	nan	2.0	Matt LeMay	June 30 2000	https://pitchfork.com/reviews/albums/8201-separation-anxieties/	9
Not the Tremblin' Kind	Laura Cantrell	Rock	7.4	Michael Sandlin	September 15 2000	https://pitchfork.com/reviews/albums/1286-not-the-tremblin-kind/	7
